Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C0402,146.0,-93.55,-90.0,top
C10,100nF,C0402,71.5,-91.75,90.0,top
C11,10uF,C0603,70.0,-91.6,90.0,top
C12,100nF,C0402,71.5,-98.35,-90.0,top
C13,10uF,C0603,70.0,-98.5,-90.0,top
C14,47pF,C0603,92.5,-91.8,90.0,top
C2,10uF,C0603,144.5,-93.7,-90.0,top
C3,100nF,C0402,112.0,-129.55,-90.0,top
C4,10uF,C0603,114.0,-129.7,-90.0,top
C5,10uF,C0603,141.8,-82.2,180.0,top
C6,22uF,C0805,105.1,-72.5,180.0,top
C7,22uF,C0805,100.5,-72.5,0.0,top
C8,100nF,C0402,147.35,-115.5,180.0,top
C9,10uF,C0603,147.2,-117.0,180.0,top
L1,2.2uH 2A 52mΩ,IND-SMD_L4.0-W4.0,96.4,-68.5,180.0,top
L2,120nH 110mA 2.66Ω,L0402,92.5,-99.45,-90.0,top
LED1,KT-0603R,LED0603-RD,117.5,-52.3,-90.0,top
LED2,KT-0603R,LED0603-RD,95.5,-52.3,-90.0,top
LED3,KT-0603R,LED0603-RD,83.5,-52.3,-90.0,top
LED4,KT-0603R,LED0603-RD,89.5,-52.3,-90.0,top
LED5,KT-0603R,LED0603-RD,116.2,-126.45,180.0,top
Q1,MMDT3904,SOT-363_L2.0-W1.3-P0.65-LS2.1-BR,130.35,-85.35,90.0,top
R1,10k,R0603,142.0,-86.25,-90.0,top
R10,10k,R0603,100.75,-65.5,0.0,top
R11,680k,R0603,107.25,-68.05,180.0,top
R12,150k,R0603,107.25,-65.5,0.0,top
R13,10k,R0603,132.0,-102.75,90.0,top
R14,10k,R0603,134.0,-103.75,90.0,top
R15,10k,R0603,136.0,-104.75,90.0,top
R16,10k,R0603,132.0,-108.75,90.0,top
R17,10k,R0603,134.0,-109.75,90.0,top
R18,10k,R0603,136.0,-110.75,90.0,top
R19,33,R0603,92.5,-95.25,-90.0,top
R2,10k,R0603,128.0,-85.25,90.0,top
R20,1k,R0603,85.5,-56.75,90.0,top
R21,1k,R0603,87.5,-56.75,90.0,top
R22,1k,R0603,112.75,-126.45,0.0,top
R3,10k,R0603,130.25,-82.5,180.0,top
R4,10k,R0603,82.85,-107.4,0.0,top
R5,2.2k,R0603,148.5,-83.75,90.0,top
R6,2.2k,R0603,119.5,-56.75,90.0,top
R7,1k,R0603,98.75,-53.1,180.0,top
R8,150k,R0603,108.5,-108.75,-90.0,top
R9,150k,R0603,106.985,-108.75,90.0,top
SDCard1,TF-001B,TF-SMD_TF-001B,146.175,-106.5,180.0,top
U3,CP2102-GMR,WQFN-28_L5.0-W5.0-P0.50-BL-EP3.2,138.0,-86.0,0.0,top
U4,TP4054,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,145.45,-83.355,180.0,top
U5,SY8089AAAC,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,102.8,-69.0,180.0,top
USB1,MICROQTJ,MICRO-USB-SMD_MICROQTJ-5P,149.85,-90.5,90.0,top
